episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,aloss,closs,reward
1,1536000,902400,0.880186,1.288696,0.533742,0.017241,30,0,0,0,0
2,1209600,576000,2.006494,1.854978,0.350101,0.000000,30,1,0,0,-599.0579710144928
3,1209600,576000,1.500000,2.250000,0.304729,0.000000,30,1,0,0,-568.2608695652174
4,825600,576000,2.071429,2.285714,0.547170,0.000000,30,3,0,0,-568.2608695652174
5,1536000,576000,1.128571,2.100000,0.426506,0.022599,30,2,0,0,-553.768115942029
6,1536000,576000,0.750000,1.833333,0.434889,0.016949,30,2,0,0,-580.5797101449275
7,1209600,576000,0.696429,1.314286,0.391593,0.016949,31,1,0,0,-580.5797101449275
8,1209600,576000,0.500000,1.183333,0.455013,0.016949,31,4,0,0,-567.927536231884
9,825600,576000,0.987302,1.666667,0.423445,0.016949,31,0,0,0,-567.927536231884
10,1536000,902400,0.880952,1.345238,0.468254,0.016949,30,8,0,0,-553.4347826086956
11,825600,576000,1.222222,1.607143,0.375796,0.016949,30,0,0,0,-599.0579710144928
12,1536000,576000,1.083333,2.666667,0.473262,0.033898,30,2,0,0,-553.768115942029
13,825600,576000,1.000000,2.100000,0.460938,0.022599,30,0,0,0,-580.5797101449275
14,1536000,576000,1.309524,1.428571,0.265367,0.045198,30,2,0,0,-553.768115942029
15,1536000,902400,1.316667,2.400000,0.460938,0.022599,30,8,0,0,-580.5797101449275
16,1536000,576000,0.964286,1.680556,0.369520,0.011299,30,2,0,0,-599.0579710144928
17,1536000,902400,1.160714,1.500000,0.395089,0.005650,30,8,0,0,-580.5797101449275
18,1536000,576000,1.655556,1.641667,0.458549,0.022599,30,2,0,0,-599.0579710144928
19,1536000,576000,0.916667,1.708333,0.426506,0.011299,30,2,0,0,-580.5797101449275
20,825600,576000,1.428571,2.347619,0.446970,0.016949,30,3,0,0,-580.5797101449275
21,1536000,902400,0.750000,0.666667,0.448101,0.011299,30,8,0,0,-553.768115942029
22,825600,576000,1.195238,1.470238,0.474531,0.016949,30,3,0,0,-599.0579710144928
23,825600,576000,0.857143,2.333333,0.435961,0.022599,30,3,0,0,-553.768115942029
24,1209600,576000,1.200000,1.983333,0.448101,0.016949,31,4,0,0,-553.768115942029
25,1209600,576000,1.157143,0.785714,0.445844,0.016949,31,4,0,0,-567.927536231884
26,1536000,902400,1.013889,2.248016,0.444724,0.016949,31,8,0,0,-567.927536231884
27,1536000,576000,1.178571,1.380952,0.467018,0.016949,30,5,0,0,-598.7246376811595
28,825600,576000,1.388889,1.908730,0.433824,0.016949,30,3,0,0,-580.5797101449275
29,825600,902400,1.501984,1.461111,0.464567,0.022599,30,6,0,0,-553.768115942029
30,825600,576000,1.654762,1.714286,0.448101,0.022599,30,3,0,0,-572.2463768115942
31,825600,576000,1.090909,1.888889,0.411628,0.028249,30,0,0,0,-553.768115942029
32,825600,576000,1.174603,1.310714,0.400452,0.033898,30,3,0,0,-553.768115942029
33,1536000,576000,1.400000,2.666667,0.452685,0.016949,30,2,0,0,-553.768115942029
34,1209600,576000,0.857143,1.928571,0.432763,0.022599,31,1,0,0,-580.5797101449275
35,1209600,902400,1.208333,1.275794,0.268997,0.067797,31,7,0,0,-567.927536231884
36,1536000,576000,1.000000,2.285714,0.458549,0.022599,30,2,0,0,-586.4057971014493
37,825600,902400,1.150000,1.283333,0.417453,0.028249,30,6,0,0,-580.5797101449275
38,1536000,576000,1.238095,1.750000,0.439206,0.022599,30,5,0,0,-572.2463768115942
39,1536000,576000,1.263889,1.652778,0.246862,0.050847,30,2,0,0,-580.5797101449275
40,1209600,576000,1.071429,1.690476,0.467018,0.028249,30,4,0,0,-580.5797101449275
41,825600,576000,0.928571,2.088889,0.423445,0.005650,30,3,0,0,-568.2608695652174
42,825600,902400,1.000000,1.500000,0.416471,0.016949,30,6,0,0,-553.768115942029
43,1209600,576000,1.188889,1.142857,0.448101,0.011299,30,1,0,0,-572.2463768115942
44,1536000,576000,0.976190,1.916667,0.441397,0.028249,30,5,0,0,-568.2608695652174
45,1209600,902400,0.916667,1.333333,0.401361,0.016949,30,7,0,0,-580.5797101449275
46,1209600,576000,1.285714,1.238095,0.438119,0.039548,30,1,0,0,-586.7391304347826
47,1536000,576000,1.119048,2.083333,0.449239,0.022599,30,5,0,0,-568.2608695652174
48,1209600,576000,0.750000,1.983333,0.443609,0.022599,30,1,0,0,-580.5797101449275
49,825600,576000,0.876190,1.089286,0.435961,0.028249,30,0,0,0,-568.2608695652174
50,1536000,576000,1.246429,2.164286,0.389011,0.022599,30,5,0,0,-553.768115942029
51,1209600,576000,0.827381,1.775000,0.413551,0.016949,30,1,0,0,-580.5797101449275
52,1209600,576000,1.000000,1.750000,0.433824,0.016949,30,4,0,0,-568.2608695652174
53,825600,902400,0.666667,2.171429,0.348425,0.050847,30,6,0,0,-568.2608695652174
54,825600,902400,1.458333,1.321429,0.464567,0.028249,30,6,0,0,-572.2463768115942
55,1209600,576000,2.000000,1.533333,0.535385,0.005747,30,1,0,0,-572.2463768115942
56,1536000,576000,2.100000,1.211905,0.067078,0.005747,31,2,0,0,-568.2608695652174
57,1209600,576000,1.685714,1.033333,0.313830,0.033898,31,4,0,0,-580.2463768115942
58,825600,576000,1.154762,2.341270,0.313830,0.039548,31,0,0,0,-567.927536231884
59,1536000,576000,1.105556,1.286111,0.234748,0.045198,30,2,0,0,-553.4347826086956
60,1536000,902400,0.900000,1.733333,0.121067,0.056497,30,8,0,0,-580.5797101449275
61,1209600,902400,1.113095,2.047619,0.432763,0.016949,30,7,0,0,-599.0579710144928
62,1209600,902400,0.946429,1.033333,0.443609,0.028249,30,7,0,0,-586.7391304347826
63,1209600,902400,1.019048,1.535714,0.308901,0.022599,30,7,0,0,-586.7391304347826
64,1209600,576000,1.350000,1.500000,0.448101,0.011299,30,4,0,0,-586.7391304347826
65,1536000,902400,1.008056,1.328976,0.324771,0.028249,30,8,0,0,-568.2608695652174
66,1209600,902400,0.826764,1.341598,0.458549,0.016949,30,7,0,0,-599.0579710144928
